timestamp,temperature,ph,turbidity,tds
2026-09-04T00:00:09.955Z,-59.56,5.38,1084.8,-247.2
2026-09-04T00:00:25.731Z,-30.31,5.31,1088.8,-5239.1
2026-09-04T00:00:40.227Z,3.12,5.36,1084.6,228.1
2026-09-04T00:00:54.691Z,22.19,5.33,1091.2,144
2026-09-04T00:01:08.419Z,23.75,5.33,1086.4,137.4
2026-09-04T00:01:22.179Z,7.38,5.36,1084.7,202.2
2026-09-04T00:01:36.771Z,-34.06,5.34,1091.8,-1642.6
2026-09-04T00:01:51.363Z,-46.69,5.34,1090,-450.5
2026-09-04T00:02:05.795Z,-55.06,5.38,1086.3,-298.7
2026-09-04T00:02:20.291Z,-54.31,5.33,1090.6,-316.1
2026-09-04T00:02:34.788Z,-61.25,5.32,1091.4,-235
2026-09-04T00:02:49.700Z,-64.44,5.35,1085.8,-227.5
2026-09-04T00:03:04.259Z,-31.88,5.35,1087.8,-2846.8
2026-09-04T00:03:18.788Z,22.38,5.35,1084.3,143.3
2026-09-04T00:03:32.579Z,24.19,5.33,1091.4,133.3
2026-09-04T00:03:47.107Z,-15.06,5.37,1084.8,698.5
2026-09-04T00:04:01.988Z,-54.19,5.35,1088.4,-305.8
2026-09-04T00:04:16.515Z,-61.75,5.39,1084.9,-237.2
2026-09-04T00:04:31.139Z,-58.94,5.35,1086.2,-252.2
2026-09-04T00:04:45.827Z,-63,5.33,1089,-228.1
2026-09-04T00:05:00.323Z,-68.75,5.37,1086.4,-189.9
2026-09-04T00:05:15.171Z,-66.19,5.37,1085.6,-205.1
2026-09-04T00:05:29.699Z,-54.06,5.38,1084.3,-320.4
2026-09-04T00:05:45.763Z,-65.31,5.37,1085.3,-208.5
2026-09-04T00:06:00.291Z,-68.75,5.3,1091.6,-186.4
2026-09-04T00:06:16.068Z,-66.81,5.37,1086.4,-199.1
2026-09-04T00:06:31.683Z,-55.31,5.31,1090.8,-290.8
2026-09-04T00:06:46.179Z,-68.75,5.34,1090.4,-185.7
2026-09-04T00:07:00.707Z,-21.19,5.31,1086,5734.5
2026-09-04T00:07:15.203Z,22.75,5.29,1087.1,141.1
2026-09-04T00:07:29.283Z,21.69,5.33,1085.4,141.5
2026-09-04T00:07:43.427Z,-11.56,5.29,1091.4,471.9
2026-09-04T00:07:57.604Z,-61,5.34,1089.8,-230.1
2026-09-04T00:08:12.100Z,-66.81,5.37,1084.6,-202.4
2026-09-04T00:08:26.723Z,-66.06,5.3,1088.5,-205.3
2026-09-04T00:08:41.604Z,-68.75,5.3,1088.9,-190.1
2026-09-04T00:08:56.100Z,-40.31,5.27,1091,-719.4
2026-09-04T00:09:10.692Z,-59.88,5.32,1088.2,-249.1
2026-09-04T00:09:25.251Z,19.88,5.33,1084.2,149.4
2026-09-04T00:09:40.067Z,22.38,5.28,1085,147.7
2026-09-04T00:09:54.211Z,-66.62,5.34,1087,-198.8
2026-09-04T00:10:08.771Z,-68.75,5.33,1086,-188.9
2026-09-04T00:10:23.267Z,-68.75,5.3,1087.7,-190.3
2026-09-04T00:10:37.667Z,-68.75,5.3,1091.8,-189.6
2026-09-04T00:10:52.867Z,-51.25,5.31,1091.8,-343.7
2026-09-04T00:11:07.811Z,6.56,5.27,1091.4,200.9
2026-09-04T00:11:21.923Z,15,5.31,1091,162.8
2026-09-04T00:11:36.068Z,-43.5,5.29,1091.7,-550.1
2026-09-04T00:11:50.564Z,-55.31,5.34,1086,-301
2026-09-04T00:12:17.059Z,-62.81,5.36,1084.6,-224.8
2026-09-04T00:12:31.971Z,-68.31,5.35,1084.9,-198.7
2026-09-04T00:12:46.371Z,-68.75,5.32,1088.8,-191.7
2026-09-04T00:13:05.891Z,-63.44,5.29,1091.6,-219.4
2026-09-04T00:13:22.532Z,-2.44,5.32,1085.8,284.8
2026-09-04T00:13:37.635Z,22.44,5.28,1091.2,140.6
2026-09-04T00:13:52.195Z,22.06,5.28,1091.2,141.3
2026-09-04T00:14:05.891Z,-49.81,5.36,1086.4,-381.1
2026-09-04T00:14:21.092Z,-64.56,5.36,1085.8,-216
2026-09-04T00:14:35.587Z,-68.56,5.33,1090.6,-192.7
2026-09-04T00:14:51.587Z,-68.75,5.37,1087.6,-188.3
2026-09-04T00:15:06.116Z,-60.5,5.38,1087.4,-249.1
2026-09-04T00:15:21.859Z,-46.69,5.36,1088,-452.1
2026-09-04T00:15:36.355Z,16.81,5.39,1085.2,159.2
2026-09-04T00:15:51.299Z,8.5,5.36,1086,196.2
2026-09-04T00:16:05.795Z,-46.31,5.37,1086.8,-472.4
2026-09-04T00:16:20.291Z,-51.19,5.36,1088.4,-356
2026-09-04T00:16:34.724Z,-56.25,5.4,1085.7,-287.7
2026-09-04T00:16:49.188Z,-59.88,5.33,1091.8,-246.6
2026-09-04T00:17:03.651Z,-58.88,5.4,1087.8,-260.8
2026-09-04T00:17:18.435Z,-64.69,5.39,1086.4,-210.4
2026-09-04T00:17:32.931Z,-68.44,5.32,1091.6,-191.4
2026-09-04T00:17:47.523Z,-68.75,5.31,1091.6,-188.9
2026-09-04T00:18:02.083Z,-15.06,5.36,1085.6,724.1
2026-09-04T00:18:16.611Z,19.06,5.3,1089.6,153.2
2026-09-04T00:18:31.140Z,22,5.29,1089.5,144
2026-09-04T00:18:44.867Z,-12.44,5.33,1085.2,526.3
2026-09-04T00:18:59.331Z,-66.5,5.33,1086.7,-207.4
2026-09-04T00:19:13.764Z,-68.25,5.33,1087,-189.8
2026-09-04T00:19:28.227Z,-68.75,5.36,1086.5,-190.4
2026-09-04T00:19:43.044Z,-68.75,5.36,1084.4,-194.2
2026-09-04T00:19:57.540Z,-68.75,5.35,1086.1,-194
2026-09-04T00:20:12.931Z,-68.75,5.33,1091,-183.5
2026-09-04T00:20:27.428Z,-68.75,5.33,1091.7,-186.6
2026-09-04T00:20:53.380Z,-27.38,5.35,1086.2,-34985.8
